studytime,failures,grade,good_student
2,0,bad,0
2,0,bad,0
2,0,good,1
3,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
2,0,bad,1
2,0,good,1
2,0,good,1
2,0,good,1
3,0,bad,0
1,0,good,0
2,0,good,1
3,0,good,1
1,0,good,0
3,0,good,1
2,0,good,1
1,3,bad,0
1,0,bad,0
2,0,good,1
1,0,bad,0
2,0,good,1
2,0,bad,0
3,0,bad,0
1,0,bad,0
1,0,bad,0
1,0,bad,0
2,0,good,1
2,0,bad,0
2,0,bad,0
2,0,good,1
2,0,good,1
2,0,good,1
1,0,bad,0
1,0,bad,0
3,0,good,1
3,0,good,1
3,0,bad,0
1,0,good,0
2,0,bad,0
1,0,bad,0
2,0,good,1
1,0,bad,0
2,1,bad,0
2,0,bad,0
2,0,good,1
4,0,good,1
2,0,bad,1
2,0,good,1
2,0,good,1
2,0,good,1
1,0,bad,0
1,0,good,0
1,0,good,0
2,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
1,0,bad,0
2,0,bad,1
3,0,good,1
2,0,good,1
2,0,good,1
4,0,bad,0
4,0,bad,0
2,0,bad,0
4,0,good,1
4,0,bad,0
4,0,bad,0
2,0,bad,0
1,0,good,0
2,0,bad,0
2,0,bad,0
4,0,bad,0
4,0,good,1
1,3,bad,0
2,0,bad,0
1,0,bad,0
3,0,bad,0
2,0,bad,0
2,0,good,1
2,0,good,1
2,0,bad,0
2,0,bad,0
3,0,good,1
2,0,bad,0
2,0,bad,0
3,0,bad,0
1,0,good,0
2,0,good,1
2,0,good,1
4,0,bad,0
4,0,good,1
1,0,bad,0
2,0,good,1
1,0,good,0
3,0,good,1
1,0,bad,0
3,0,good,1
1,0,good,0
2,0,bad,0
2,0,good,1
4,0,bad,0
4,0,bad,0
3,0,good,1
4,0,bad,0
3,0,good,1
1,0,good,0
3,0,bad,0
2,1,bad,0
1,0,good,0
2,0,bad,0
2,0,good,1
2,0,good,1
1,0,good,0
2,1,bad,0
1,0,good,0
2,0,good,1
4,0,good,1
2,0,good,1
1,0,good,0
2,0,bad,0
1,0,bad,0
2,0,bad,0
2,2,bad,0
1,0,good,0
3,0,good,1
3,0,bad,0
2,3,bad,0
1,0,bad,0
1,0,bad,0
1,0,good,0
1,0,good,0
1,0,bad,0
1,1,bad,0
2,0,bad,0
3,0,good,1
2,0,bad,0
2,0,good,1
1,0,bad,0
3,0,bad,0
1,0,bad,0
1,0,bad,0
2,2,bad,0
1,0,good,0
1,1,bad,0
4,0,bad,0
2,0,bad,0
3,0,good,1
1,0,bad,0
3,0,good,1
1,0,bad,0
1,0,bad,0
2,0,bad,1
1,0,bad,0
2,1,bad,0
2,0,good,1
2,0,bad,0
1,0,bad,0
1,0,bad,0
1,2,bad,0
1,1,bad,0
3,0,good,1
1,0,bad,0
1,0,good,0
2,0,bad,0
1,3,bad,0
1,3,bad,0
1,0,bad,0
2,1,bad,0
1,2,bad,0
1,1,bad,0
2,2,bad,0
1,0,bad,0
1,1,bad,0
2,0,bad,0
1,3,bad,0
2,0,bad,0
2,0,good,1
2,0,good,1
2,0,good,1
1,1,bad,0
2,0,good,1
2,0,bad,0
2,0,good,1
2,0,good,1
2,0,bad,0
2,0,good,1
2,0,bad,0
1,0,bad,0
2,0,bad,0
2,0,bad,0
2,0,bad,1
2,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
1,0,bad,0
2,0,good,1
2,0,good,1
2,0,bad,0
2,0,good,1
2,0,bad,0
2,0,bad,0
1,0,bad,0
1,0,good,0
2,0,good,1
1,0,good,0
1,0,bad,0
1,1,good,0
2,0,bad,0
2,0,good,1
2,0,bad,0
2,0,good,1
1,0,good,0
4,0,good,1
3,1,bad,0
2,0,bad,0
2,0,good,1
1,0,good,0
3,0,bad,0
4,0,bad,1
2,0,good,1
2,0,good,1
2,0,bad,0
1,0,bad,0
2,0,good,1
2,0,bad,0
2,0,bad,0
1,0,good,0
3,0,good,1
2,0,bad,0
3,0,bad,1
2,0,good,1
2,3,bad,0
3,0,good,1
2,0,bad,0
2,0,good,1
2,0,bad,0
2,0,bad,0
3,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
2,0,good,1
2,0,bad,0
3,0,bad,1
2,0,good,1
1,0,bad,0
2,0,good,1
2,1,bad,0
2,1,bad,0
1,1,bad,0
1,1,bad,0
1,0,bad,0
2,0,good,1
3,0,bad,0
1,0,bad,0
2,0,good,1
1,1,bad,0
2,0,bad,0
1,1,bad,0
3,0,good,1
2,0,good,1
2,0,good,1
